lending_rate,social_contri,final consumption,GDP
3.54416666666667,1444640000000.0,17125555000000.0,2.9259912498527325
5.2825,1406236000000.0,17402594000000.0,2.28886986777364
4.90416666666667,1345439000000.0,16782948000000.0,2.91885689667409
4.09666666666667,1284185000000.0,15969801000000.0,2.25568048065699
3.51166666666667,1224406000000.0,15356374000000.0,1.66747207596187
3.26,1190781100000.0,14872459000000.0,2.70636958176399
3.25,1140055000000.0,14413979000000.0,2.28777593255359
3.25,1091780000000.0,13896173000000.0,1.84187539518688
3.25,937959000000.0,13562803000000.0,2.28068760319185
3.25,903206000000.0,13210168000000.0,1.54989495017045
3.25,970903000000.0,12771302000000.0,2.70885669419681
3.25,950663000000.0,12324647000000.0,2.9259912498527325
5.0875,974497100000.0,12403523000000.0,3.2010684197873887
8.05,947297000000.0,11945126000000.0,2.01050755163328
7.9575,905682000000.0,11350189000000.0,2.78281062584327
6.18916666666667,853397000000.0,10731093000000.0,3.48322032025258
4.34,808978900000.0,10083880000000.0,3.85255260064351
4.1225,763276000000.0,9487128000000.0,2.7962091006717
4.675,739425000000.0,8994760000000.0,1.69594292274957
6.92166666666667,723262000000.0,8611952000000.0,3.2010684197873887
9.23333333333333,659300000000.0,8204767000000.0,4.07715947941618
7.99416666666667,617820000000.0,7635185000000.0,4.79449904467508
8.35416666666667,577940000000.0,7144856000000.0,4.48139443155316
8.44166666666667,545290000000.0,6757318000000.0,4.44717494524525
8.27083333333333,515120000000.0,6417484000000.0,3.77256549921414
8.82916666666667,489910000000.0,6104333000000.0,2.68421727207786
7.13833333333333,466580000000.0,5829066000000.0,4.02879325991903
6.0,433080000000.0,5525024000000.0,2.75178105096643
6.25166666666667,418450000000.0,5245942000000.0,3.52244052740502
8.46333333333333,400460000000.0,4948306000000.0,3.2010684197873887
10.0091666666667,383590000000.0,4757180000000.0,1.88596495668033
10.8733333333333,354860000000.0,4458186000000.0,3.67264814950788
9.315,329520000000.0,4150467000000.0,4.177061291404
8.20333333333333,298590000000.0,3853172000000.0,3.45925198973302
8.3325,279150000000.0,3624267000000.0,3.4626459710688
9.93333333333333,260420000000.0,3403470000000.0,4.16965622337729
7.094234972677595,234790000000.0,3127068000000.0,3.5736170298098213
10.7941666666667,204570000000.0,2876998000000.0,4.58391335530169
7.094234972677595,196910000000.0,2625786000000.0,3.120359454809349
7.094234972677595,179110000000.0,2440992000000.0,2.53771930714828
7.094234972677595,154070000000.0,2204317000000.0,3.2010684197873887
7.094234972677595,135440000000.0,1990125000000.0,3.16614530778003
9.05666666666667,117730000000.0,1793022000000.0,5.53530495839769
6.82416666666667,103510000000.0,1615144000000.0,4.62415306482367
6.84,87950000000.0,1462173000000.0,5.38813928726294
7.8625,81970000000.0,1327272000000.0,3.2010684197873887
10.7983333333333,72730000000.0,1195366000000.0,3.2010684197873887
8.02166666666667,60930000000.0,1088700000000.0,5.645722556183
5.24833333333333,50480000000.0,993651000000.0,5.25890735705133
5.72333333333333,598292614285.7142,908897000000.0,3.29335163921785
7.91,598292614285.7142,839510000000.0,3.2010684197873887
7.95166666666667,598292614285.7142,7369499960784.313,3.09999999999999
6.3125,598292614285.7142,7369499960784.313,4.79999999999959
5.63333333333333,598292614285.7142,7369499960784.313,2.50000000000003
5.625,598292614285.7142,7369499960784.313,3.5135675852134876
4.535,598292614285.7142,7369499960784.313,3.5135675852134876
4.5,598292614285.7142,7369499960784.313,5.8000000000003
4.5,598292614285.7142,7369499960784.313,4.39999999999992
4.5,598292614285.7142,7369499960784.313,3.5135675852134876
4.5,598292614285.7142,7369499960784.313,2.29999999999968
4.82083333333333,598292614285.7142,7369499960784.313,2.925991249852733
